Accuracy,Sensitivity,Specificity,MCC,Distance,Averaging,Dataset,Number of Classes,Aggregation,Gamma,Cost,Tool,Indep. Accuracy,Indep. Sensitivity,Indep. Specificity,Indep. MCC
0.6562,0.7,0.65,0.24,0.2528092759,Macro,down sampled,8,balanced average,value tbd,value tbd,SKlearn Probability,0.6693,0.7725,0.6546,0.3
0.6562,0.7,0.65,0.23,0.2615578903,Micro,down sampled,8,balanced average,value tbd,value tbd,SKlearn Probability,0.6694,0.7725,0.6546,0.28
0.7586,0.5397,0.7204,0.21,0.3253535308,Macro,shuffled,8,balanced average,value tbd,value tbd,SKlearn Probability,0.7373,0.549,0.716,0.25
0.7586,0.7797,0.7555,0.38,0.09216599156,Micro,shuffled,8,balanced average,value tbd,value tbd,SKlearn Probability,0.7373,0.7244,0.7392,0.32
0.8874,0.3144,0.9155,0.28,0.5246039458,Macro,balanced,8,maximum probability,value tbd,value tbd,SKlearn Probability,0.8619,0.2704,0.9078,0.21
0.8874,0.55,0.9357,0.48,0.3208184845,Micro,balanced,8,maximum probability,value tbd,value tbd,SKlearn Probability,0.8619,0.4477,0.9211,0.36
0.8536,0.4145,0.9163,0.31,0.4244045829,Macro,down sampled,8,maximum probability,value tbd,value tbd,SKlearn Probability,0.8481,0.3925,0.9132,0.28
0.8536,0.4146,0.9163,0.33,0.4176755439,Micro,down sampled,8,maximum probability,value tbd,value tbd,SKlearn Probability,0.8481,0.3925,0.9132,0.3
0.882,0.2852,0.9116,0.24,0.5606168121,Macro,shuffled,8,maximum probability,value tbd,value tbd,SKlearn Probability,0.8624,0.2747,0.9081,0.21
0.882,0.5282,0.9326,0.46,0.3297335439,Micro,shuffled,8,maximum probability,value tbd,value tbd,SKlearn Probability,0.8625,0.45,0.9214,0.37
0.8228971429,0.4376685714,0.8431085714,0.31,0.3707928316,Macro,balanced,7,unweighted average,list tbd,list tbd,SVMLight,0.8135828571,0.4449114286,0.8452828571,0.32
0.82288,0.56538,0.86582,0.38,0.253703743,Micro,balanced,7,unweighted average,list tbd,list tbd,SVMLight,0.81358,0.54164,0.85888,0.32
0.8408114286,0.39286,0.9154771429,0.32,0.4346788289,Macro,down sampled,7,unweighted average,list tbd,list tbd,SVMLight,0.8498,0.4171428571,0.9218971429,0.36
0.84078,0.39288,0.9155,0.32,0.43466472,Micro,down sampled,7,unweighted average,list tbd,list tbd,SVMLight,0.84978,0.41716,0.9219,0.35
0.8173942857,0.43276,0.8406571429,0.28,0.3859984782,Macro,shuffled,7,unweighted average,list tbd,list tbd,SVMLight,0.8128542857,0.4366628571,0.8449057143,0.32
0.8174,0.54742,0.8624,0.36,0.2701571513,Micro,shuffled,7,unweighted average,list tbd,list tbd,SVMLight,0.81286,0.53836,0.8586,0.34
0.7384714286,0.6418257143,0.7045857143,0.28,0.2100485725,Macro,balanced,7,balanced average,list tbd,list tbd,SVMLight,0.7290457143,0.6379428571,0.7122628571,0.31
0.73848,0.75256,0.73608,0.36,0.1002643725,Micro,balanced,7,balanced average,list tbd,list tbd,SVMLight,0.72904,0.71502,0.73136,0.33
0.6945685714,0.7000057143,0.6936428571,0.28,0.1946353081,Macro,down sampled,7,balanced average,list tbd,list tbd,SVMLight,0.7191857143,0.7828571429,0.7085657143,0.36
